"name","classification","number","percent"
"rlang","accessed 1+ times, never forced",71,1.0439641229231
"rlang","never accessed",879,12.9245699161888
"rprojroot","accessed 2+ times, forced 2+ times",0,0
"rprojroot","accessed 2+ times, forced once",854,22.4736842105263
"rprojroot","accessed once, forced once",2567,67.5526315789474
"rprojroot","accessed 1+ times, never forced",36,0.947368421052632
"rprojroot","never accessed",343,9.02631578947368
"RSQLite","accessed 2+ times, forced 2+ times",0,0
"RSQLite","accessed 2+ times, forced once",31004,17.9616712627164
"RSQLite","accessed once, forced once",111739,64.7342015618845
"RSQLite","accessed 1+ times, never forced",1632,0.94547308414247
"RSQLite","never accessed",28237,16.3586540912567
"Sleuth3","accessed 2+ times, forced 2+ times",0,0
"Sleuth3","accessed 2+ times, forced once",0,0
"Sleuth3","accessed once, forced once",0,0
"Sleuth3","accessed 1+ times, never forced",0,0
"Sleuth3","never accessed",0,0
"SparseM","accessed 2+ times, forced 2+ times",0,0
"SparseM","accessed 2+ times, forced once",19288,21.7146073740501
"SparseM","accessed once, forced once",55587,62.5803546298902
"SparseM","accessed 1+ times, never forced",1076,1.21137067267098
"SparseM","never accessed",12874,14.4936673233887
"sp","accessed 2+ times, forced 2+ times",0,0
"sp","accessed 2+ times, forced once",704752,17.2768606923914
"sp","accessed once, forced once",2692527,66.0067852088429
"sp","accessed 1+ times, never forced",76406,1.87307849862484
"sp","never accessed",605482,14.8432756001409
"stringr","accessed 2+ times, forced 2+ times",0,0
"stringr","accessed 2+ times, forced once",2246,23.6620311841551
"stringr","accessed once, forced once",6172,65.0231774125579
"stringr","accessed 1+ times, never forced",121,1.27475769068689
"stringr","never accessed",953,10.0400337126001
"tibble","accessed 2+ times, forced 2+ times",0,0
"tibble","accessed 2+ times, forced once",11811,18.979286850605
"tibble","accessed once, forced once",45569,73.2255628223876
"tibble","accessed 1+ times, never forced",165,0.265141167585287
"tibble","never accessed",4686,7.53000915942215
"tidyr","accessed 2+ times, forced 2+ times",0,0
"tidyr","accessed 2+ times, forced once",1361,21.776
"tidyr","accessed once, forced once",4092,65.472
"tidyr","accessed 1+ times, never forced",52,0.832
"tidyr","never accessed",745,11.92
"vcd","accessed 2+ times, forced 2+ times",0,0
"vcd","accessed 2+ times, forced once",1811559,19.6217581150901
"vcd","accessed once, forced once",5126462,55.5268679354088
"vcd","accessed 1+ times, never forced",191087,2.06974373616218
"vcd","never accessed",2103291,22.7816302133389
"viridis","accessed 2+ times, forced 2+ times",0,0
"viridis","accessed 2+ times, forced once",326997,23.1758753225693
"viridis","accessed once, forced once",918812,65.1206963882866
"viridis","accessed 1+ times, never forced",12096,0.857302629387421
"viridis","never accessed",153032,10.8461256597566
"xml2","accessed 2+ times, forced 2+ times",0,0
"xml2","accessed 2+ times, forced once",4031,19.6586198488174
"xml2","accessed once, forced once",13556,66.1107047061692
"xml2","accessed 1+ times, never forced",204,0.99487929773226
"xml2","never accessed",2714,13.2357961472812
"xtable","accessed 2+ times, forced 2+ times",0,0
"xtable","accessed 2+ times, forced once",571258,18.3833557416731
"xtable","accessed once, forced once",1904921,61.301269133708
"xtable","accessed 1+ times, never forced",30030,0.96637976697472
"xtable","never accessed",601265,19.3489953576442
"xts","accessed 2+ times, forced 2+ times",0,0
"xts","accessed 2+ times, forced once",17643,20.626885215236
"xts","accessed once, forced once",54655,63.8985666518577
"xts","accessed 1+ times, never forced",690,0.806696752168728
"xts","never accessed",12546,14.6678513807375
"zoo","accessed 2+ times, forced 2+ times",0,0
"zoo","accessed 2+ times, forced once",144695,19.9608494483331
"zoo","accessed once, forced once",448631,61.8891865569311
"zoo","accessed 1+ times, never forced",9050,1.24845839529642
"zoo","never accessed",122518,16.9015055994394
