"name","function_id","function_name","number","percent"
"curl",412,"assignNativeRoutines",1,0.00439000834101585
"curl",306,"assignWrapped",6,0.0263400500460951
"curl",326,"base::assign",36,0.158040300276571
"curl",554,"base::print",1,0.00439000834101585
"curl",555,"base::print.default",1,0.00439000834101585
"curl",117,"base::sprintf",14,0.0614601167742219
"curl",556,"print.default",1,0.00439000834101585
"data",345,"<anonymous>",7443,7.37851180680849
"data",179,"base::eval",181,0.179431766361996
"data",320,"base::eval.parent",2,0.00198267145151377
"data",184,"eval",181,0.179431766361996
"data",412,"base::force",42,0.0416361004817892
"data",749,"data.table::gforce",4,0.00396534290302754
"data",114,"forceAndCall",6,0.00594801435454131
"data",323,"<-",78,0.077324186609037
"data",563,"[<-",16,0.0158613716121102
"data",233,"attr<-",57,0.0565061363681424
"data",39,"attributes<-",120,0.118960287090826
"data",537,"base::Encoding<-",4,0.00396534290302754
"data",438,"base::[<-.data.frame",1,0.000991335725756885
"data",396,"base::body<-",5,0.00495667862878442
"data",704,"base::colnames<-",1,0.000991335725756885
"data",726,"base::is.na<-",3,0.00297400717727065
"data",727,"base::is.na<-.default",3,0.00297400717727065
"data",672,"base::mostattributes<-",1,0.000991335725756885
"data",710,"base::row.names<-",1,0.000991335725756885
"data",711,"base::row.names<-.data.frame",1,0.000991335725756885
"data",703,"base::rownames<-",2,0.00198267145151377
"data",394,"body<-",5,0.00495667862878442
"data",145,"class<-",32,0.0317227432242203
"data",112,"dim<-",7,0.00693935008029819
"data",113,"dimnames<-",9,0.00892202153181196
"data",197,"levels<-",10,0.00991335725756885
"data",36,"names<-",134,0.132838987251423
"data",348,"parent.env<-",44,0.0436187719333029
"data",349,"parent.env<-",44,0.0436187719333029
"data",198,"storage.mode<-",7,0.00693935008029819
"data",404,"assign",123,0.121934294268097
"data",377,"assignNativeRoutines",1,0.000991335725756885
"data",362,"assignWrapped",50,0.0495667862878442
"data",403,"base::assign",123,0.121934294268097
"data",16,"base::sprintf",25,0.0247833931439221
"DBI",357,"<anonymous>",9469,6.94198032286917
"DBI",143,"base::eval",69,0.0505857685371182
"DBI",334,"base::eval.parent",5,0.00366563540124045
"DBI",148,"eval",69,0.0505857685371182
