"name","number","strictness_rate","percent"
"knitr",2,"(70,80〉",0.2710027100271
"knitr",3,"(80,90〉",0.40650406504065
"knitr",2,"(90,100)",0.2710027100271
"knitr",272,"100",36.8563685636856
"knitr",352,NA,47.6964769647696
"lazyeval",100,"0",16.4473684210526
"lazyeval",1,"(0,10〉",0.164473684210526
"lazyeval",0,"(10,20〉",0
"lazyeval",3,"(20,30〉",0.493421052631579
"lazyeval",0,"(30,40〉",0
"lazyeval",1,"(40,50〉",0.164473684210526
"lazyeval",3,"(50,60〉",0.493421052631579
"lazyeval",0,"(60,70〉",0
"lazyeval",3,"(70,80〉",0.493421052631579
"lazyeval",1,"(80,90〉",0.164473684210526
"lazyeval",2,"(90,100)",0.328947368421053
"lazyeval",236,"100",38.8157894736842
"lazyeval",263,NA,43.2565789473684
"lubridate",161,"0",16.1161161161161
"lubridate",6,"(0,10〉",0.600600600600601
"lubridate",6,"(10,20〉",0.600600600600601
"lubridate",5,"(20,30〉",0.500500500500501
"lubridate",5,"(30,40〉",0.500500500500501
"lubridate",10,"(40,50〉",1.001001001001
"lubridate",3,"(50,60〉",0.3003003003003
"lubridate",1,"(60,70〉",0.1001001001001
"lubridate",1,"(70,80〉",0.1001001001001
"lubridate",3,"(80,90〉",0.3003003003003
"lubridate",6,"(90,100)",0.600600600600601
"lubridate",391,"100",39.1391391391391
"lubridate",413,NA,41.3413413413413
"magrittr",85,"0",12.8398791540786
"magrittr",2,"(0,10〉",0.302114803625378
"magrittr",2,"(10,20〉",0.302114803625378
"magrittr",3,"(20,30〉",0.453172205438066
"magrittr",0,"(30,40〉",0
"magrittr",1,"(40,50〉",0.151057401812689
"magrittr",1,"(50,60〉",0.151057401812689
"magrittr",1,"(60,70〉",0.151057401812689
"magrittr",1,"(70,80〉",0.151057401812689
"magrittr",2,"(80,90〉",0.302114803625378
"magrittr",1,"(90,100)",0.151057401812689
"magrittr",279,"100",42.1450151057402
"magrittr",290,NA,43.8066465256798
"markdown",59,"0",12.5531914893617
"markdown",1,"(0,10〉",0.212765957446809
"markdown",0,"(10,20〉",0
"markdown",1,"(20,30〉",0.212765957446809
"markdown",1,"(30,40〉",0.212765957446809
"markdown",2,"(40,50〉",0.425531914893617
"markdown",1,"(50,60〉",0.212765957446809
"markdown",1,"(60,70〉",0.212765957446809
"markdown",5,"(70,80〉",1.06382978723404
"markdown",1,"(80,90〉",0.212765957446809
"markdown",1,"(90,100)",0.212765957446809
"markdown",170,"100",36.1702127659574
"markdown",230,NA,48.936170212766
"mvtnorm",73,"0",10.7669616519174
"mvtnorm",1,"(0,10〉",0.147492625368732
"mvtnorm",2,"(10,20〉",0.294985250737463
"mvtnorm",0,"(20,30〉",0
"mvtnorm",3,"(30,40〉",0.442477876106195
"mvtnorm",1,"(40,50〉",0.147492625368732
"mvtnorm",1,"(50,60〉",0.147492625368732
"mvtnorm",1,"(60,70〉",0.147492625368732
"mvtnorm",4,"(70,80〉",0.589970501474926
"mvtnorm",2,"(80,90〉",0.294985250737463
"mvtnorm",2,"(90,100)",0.294985250737463
"mvtnorm",252,"100",37.1681415929204
"mvtnorm",341,NA,50.2949852507375
"nloptr",51,"0",9.94152046783626
"nloptr",2,"(0,10〉",0.389863547758285
"nloptr",0,"(10,20〉",0
"nloptr",2,"(20,30〉",0.389863547758285
"nloptr",2,"(30,40〉",0.389863547758285
"nloptr",2,"(40,50〉",0.389863547758285
"nloptr",2,"(50,60〉",0.389863547758285
"nloptr",2,"(60,70〉",0.389863547758285
"nloptr",0,"(70,80〉",0
"nloptr",0,"(80,90〉",0
"nloptr",2,"(90,100)",0.389863547758285
"nloptr",198,"100",38.5964912280702
"nloptr",253,NA,49.317738791423
"quantreg",140,"0",12.5560538116592
"quantreg",8,"(0,10〉",0.717488789237668
"quantreg",3,"(10,20〉",0.269058295964126
"quantreg",1,"(20,30〉",0.0896860986547085
"quantreg",4,"(30,40〉",0.358744394618834
"quantreg",9,"(40,50〉",0.807174887892377
"quantreg",1,"(50,60〉",0.0896860986547085
"quantreg",5,"(60,70〉",0.448430493273543
"quantreg",4,"(70,80〉",0.358744394618834
"quantreg",11,"(80,90〉",0.986547085201794
"quantreg",9,"(90,100)",0.807174887892377
"quantreg",451,"100",40.4484304932735
"quantreg",484,NA,43.4080717488789
"R6",218,"0",15.4063604240283
"R6",5,"(0,10〉",0.353356890459364
"R6",9,"(10,20〉",0.636042402826855
"R6",4,"(20,30〉",0.282685512367491
"R6",1,"(30,40〉",0.0706713780918728
"R6",9,"(40,50〉",0.636042402826855
"R6",2,"(50,60〉",0.141342756183746
"R6",8,"(60,70〉",0.565371024734982
"R6",8,"(70,80〉",0.565371024734982
"R6",11,"(80,90〉",0.777385159010601
"R6",10,"(90,100)",0.706713780918728
"R6",594,"100",41.9787985865724
"R6",559,NA,39.5053003533569
"RcppArmadillo",271,"0",15.388983532084
"RcppArmadillo",12,"(0,10〉",0.681431005110733
"RcppArmadillo",9,"(10,20〉",0.511073253833049
"RcppArmadillo",8,"(20,30〉",0.454287336740488
"RcppArmadillo",11,"(30,40〉",0.624645088018172
"RcppArmadillo",3,"(40,50〉",0.170357751277683
"RcppArmadillo",6,"(50,60〉",0.340715502555366
"RcppArmadillo",4,"(60,70〉",0.227143668370244
"RcppArmadillo",5,"(70,80〉",0.283929585462805
"RcppArmadillo",5,"(80,90〉",0.283929585462805
"RcppArmadillo",19,"(90,100)",1.07893242475866
"RcppArmadillo",710,"100",40.3180011357183
"RcppArmadillo",717,NA,40.7155025553663
"RcppEigen",5,"0",7.04225352112676
"RcppEigen",0,"(0,10〉",0
"RcppEigen",0,"(10,20〉",0
"RcppEigen",0,"(20,30〉",0
"RcppEigen",0,"(30,40〉",0
"RcppEigen",1,"(40,50〉",1.40845070422535
"RcppEigen",0,"(50,60〉",0
"RcppEigen",1,"(60,70〉",1.40845070422535
"RcppEigen",0,"(70,80〉",0
"RcppEigen",0,"(80,90〉",0
"RcppEigen",0,"(90,100)",0
"RcppEigen",17,"100",23.943661971831
"RcppEigen",47,NA,66.1971830985916
"Rcpp",120,"0",12.7931769722814
"Rcpp",4,"(0,10〉",0.426439232409382
"Rcpp",5,"(10,20〉",0.533049040511727
"Rcpp",1,"(20,30〉",0.106609808102345
"Rcpp",8,"(30,40〉",0.852878464818763
"Rcpp",5,"(40,50〉",0.533049040511727
"Rcpp",1,"(50,60〉",0.106609808102345
"Rcpp",5,"(60,70〉",0.533049040511727
