"name","no.of.force.orders","number","calls","percent","percent.calls"
"htmlwidgets",">10",1,34,0.210084033613445,0.10183604396921
"iterators","0",221,NA,50.1133786848073,NA
"iterators","1",194,2718,43.9909297052154,34.6816383820339
"iterators","2",21,323,4.76190476190476,4.12147505422993
"iterators","3",3,55,0.680272108843537,0.701799157841011
"iterators","4",1,24,0.226757369614512,0.306239632512441
"iterators","5",1,30,0.226757369614512,0.382799540640551
"jsonlite","0",264,NA,44.7457627118644,NA
"jsonlite","1",271,15203,45.9322033898305,41.2497286737573
"jsonlite","2",31,1030,5.25423728813559,2.79466029954417
"jsonlite","3",15,664,2.54237288135593,1.80160625135663
"jsonlite","4",2,117,0.338983050847458,0.317451703928804
"jsonlite","5",4,186,0.677966101694915,0.504666811373996
"jsonlite","6",2,95,0.338983050847458,0.257759930540482
"jsonlite","9",1,20,0.169491525423729,0.0542652485348383
"knitr","0",357,NA,48.3739837398374,NA
"knitr","1",318,12880,43.0894308943089,38.5444098635384
"knitr","2",48,1491,6.50406504065041,4.46193440268135
"knitr","3",11,239,1.49051490514905,0.71522623892746
"knitr","4",2,96,0.2710027100271,0.287287526933206
"knitr","5",1,41,0.13550135501355,0.122695714627723
"knitr","6",1,69,0.13550135501355,0.206487909983242
"lazyeval","0",283,NA,46.5460526315789,NA
"lazyeval","1",280,7694,46.0526315789474,33.4303714968499
"lazyeval","2",33,1313,5.42763157894737,5.70497501629372
"lazyeval","3",8,191,1.31578947368421,0.829893547686292
"lazyeval","4",1,33,0.164473684210526,0.143384749076689
"lazyeval","5",3,170,0.493421052631579,0.738648707364762
"lubridate","0",439,NA,43.9439439439439,NA
"lubridate","1",460,59869,46.046046046046,23.2819232504239
"lubridate","2",65,26738,6.50650650650651,10.3979031530481
"lubridate","3",21,14416,2.1021021021021,5.60611010002022
"lubridate","4",6,538,0.600600600600601,0.209218037861465
"lubridate","5",4,2435,0.4004004004004,0.946925505934326
"lubridate","6",3,2562,0.3003003003003,0.996313407065192
"lubridate","7",1,1624,0.1001001001001,0.631542924697062
"magrittr","0",300,NA,45.3172205438066,NA
"magrittr","1",310,9960,46.8277945619335,32.3944578156508
"magrittr","2",38,1271,5.74018126888217,4.13387107265986
"magrittr","3",10,293,1.51057401812689,0.952969491966435
"magrittr","4",2,73,0.302114803625378,0.237429259090613
"magrittr","5",2,84,0.302114803625378,0.273206270734404
"markdown","0",238,NA,50.6382978723404,NA
"markdown","1",198,6083,42.1276595744681,32.01241974529
"markdown","2",28,1152,5.95744680851064,6.06251973476476
"markdown","3",2,52,0.425531914893617,0.273655404694243
"markdown","4",2,84,0.425531914893617,0.442058730659931
"markdown","5",2,137,0.425531914893617,0.720976739290601
"mvtnorm","0",349,NA,51.4749262536873,NA
"mvtnorm","1",287,23132,42.330383480826,24.3446047632579
"mvtnorm","2",33,4665,4.86725663716814,4.90954440690809
"mvtnorm","3",6,821,0.884955752212389,0.864037718772035
"mvtnorm","4",2,170,0.294985250737463,0.178911586103832
"mvtnorm","5",1,35,0.147492625368732,0.0368347383154948
"nloptr","0",257,NA,50.0974658869396,NA
"nloptr","1",216,6027,42.1052631578947,21.1473684210526
"nloptr","2",27,1148,5.26315789473684,4.0280701754386
"nloptr","3",6,431,1.16959064327485,1.51228070175439
"nloptr","4",4,243,0.779727095516569,0.852631578947368
"nloptr","5",2,176,0.389863547758285,0.617543859649123
"nloptr","10",1,292,0.194931773879142,1.02456140350877
"quantreg","0",487,NA,43.677130044843,NA
"quantreg","1",496,362538,44.4843049327354,35.7589321381403
"quantreg","2",93,69547,8.34080717488789,6.85976767514369
"quantreg","3",21,6197,1.88340807174888,0.611241035312313
"quantreg","4",9,35428,0.807174887892377,3.49444043876789
"quantreg","5",4,6113,0.358744394618834,0.602955696121376
"quantreg","6",2,5160,0.179372197309417,0.508956550300393
"quantreg","7",1,26,0.0896860986547085,0.00256450974957562
"quantreg","8",1,6405,0.0896860986547085,0.631757113308918
"quantreg",">10",1,1120,0.0896860986547085,0.110471189212488
"R6","0",571,NA,40.3533568904594,NA
"R6","1",689,399277,48.6925795053004,28.2245368979497
"R6","2",107,113366,7.56183745583039,8.01374196353149
"R6","3",26,49669,1.83745583038869,3.51105754447229
"R6","4",6,3830,0.424028268551237,0.270739302086389
"R6","5",6,6232,0.424028268551237,0.440534551071117
"R6","6",7,11717,0.49469964664311,0.828264334868465
"R6","7",1,200,0.0706713780918728,0.0141378225632579
"R6","8",1,1769,0.0706713780918728,0.125049040572016
"R6","9",1,8845,0.0706713780918728,0.625245202860081
"RcppArmadillo","0",740,NA,42.0215786484952,NA
"RcppArmadillo","1",838,443426,47.5865985235662,25.4321607924917
"RcppArmadillo","2",119,120966,6.75752413401476,6.93785831779046
"RcppArmadillo","3",32,61153,1.81714934696195,3.50735619684738
"RcppArmadillo","4",15,9483,0.851788756388416,0.543885971492873
"RcppArmadillo","5",6,9969,0.340715502555366,0.571759912455178
"RcppArmadillo","6",1,737,0.056785917092561,0.0422697417473634
"RcppArmadillo","7",3,9019,0.170357751277683,0.517273813866311
"RcppArmadillo","8",1,302,0.056785917092561,0.017320843972461
"RcppArmadillo","9",2,8534,0.113571834185122,0.489457226691994
"RcppArmadillo","10",1,944,0.056785917092561,0.0541419758609377
"RcppArmadillo",">10",3,4716,0.170357751277683,0.270480464152735
"RcppEigen","0",47,NA,66.1971830985916,NA
"RcppEigen","1",21,34,29.5774647887324,18.5792349726776
"RcppEigen","2",3,11,4.22535211267606,6.01092896174863
"Rcpp","0",394,NA,42.0042643923241,NA
"Rcpp","1",428,37043,45.6289978678038,24.0004405771561
"Rcpp","2",77,13334,8.2089552238806,8.63919970455414
"Rcpp","3",24,5498,2.55863539445629,3.56219588837848
"Rcpp","4",5,587,0.533049040511727,0.380321750905451
"Rcpp","5",6,1725,0.639658848614073,1.1176405797477
"Rcpp","6",1,607,0.106609808102345,0.3932799025547
"Rcpp","8",1,664,0.106609808102345,0.430210634755059
"Rcpp","9",1,373,0.106609808102345,0.241669528258489
"Rcpp",">10",1,408,0.106609808102345,0.264346293644675
"readr","0",377,NA,41.4285714285714,NA
"readr","1",449,27801,49.3406593406593,32.3297516048004
"readr","2",61,4414,6.7032967032967,5.13303563122151
"readr","3",14,935,1.53846153846154,1.08731044748349
"readr","4",4,581,0.43956043956044,0.67564424597637
"readr","5",2,221,0.21978021978022,0.25700065122337
"readr","7",1,18,0.10989010989011,0.02093217973765
"readr","8",1,308,0.10989010989011,0.358172853288678
"readr","9",1,154,0.10989010989011,0.179086426644339
"readxl","0",359,NA,43.5151515151515,NA
"readxl","1",390,41906,47.2727272727273,22.9347956961
"readxl","2",58,13813,7.03030303030303,7.55973686226863
"readxl","3",8,1085,0.96969696969697,0.593811228231482
"readxl","4",4,1587,0.484848484848485,0.868551538436279
"readxl","5",3,770,0.363636363636364,0.421414420035246
"readxl","6",1,18,0.121212121212121,0.0098512461826421
"readxl","8",2,765,0.242424242424242,0.418677962762289
"rlang","0",212,NA,49.4172494172494,NA
"rlang","1",192,2713,44.7552447552448,32.286088301797
"rlang","2",17,434,3.96270396270396,5.16482208734976
"rlang","3",5,94,1.16550116550117,1.11864810186838
"rlang","4",2,55,0.466200466200466,0.654528144710223
"rlang","5",1,28,0.233100233100233,0.333214328216113
"rprojroot","0",180,NA,49.3150684931507,NA
"rprojroot","1",159,1614,43.5616438356164,30.47583081571
"rprojroot","2",22,330,6.02739726027397,6.23111782477341
"rprojroot","3",1,13,0.273972602739726,0.245468277945619
"rprojroot","4",3,67,0.821917808219178,1.26510574018127
"RSQLite","0",293,NA,38.8594164456233,NA
"RSQLite","1",376,61695,49.867374005305,33.004686296328
"RSQLite","2",56,16835,7.42705570291777,9.00614140203715
"RSQLite","3",20,2969,2.6525198938992,1.58831207737739
"RSQLite","4",2,136,0.26525198938992,0.0727552854575024
"RSQLite","5",3,1360,0.397877984084881,0.727552854575023
"RSQLite","6",2,2112,0.26525198938992,1.12984678592827
"RSQLite","7",1,257,0.13262599469496,0.13748609090131
"RSQLite","8",1,318,0.13262599469496,0.170118976290336
"SparseM","0",379,NA,42.2048997772829,NA
"SparseM","1",431,37178,47.9955456570156,39.682776876441
"SparseM","2",60,5104,6.6815144766147,5.44786952437879
"SparseM","3",15,885,1.67037861915367,0.94462471180941
"SparseM","4",7,2543,0.779510022271715,2.71432840918794
"SparseM","5",5,563,0.556792873051225,0.600930748868585
"SparseM","7",1,351,0.111358574610245,0.374647767056613
"stringr","0",213,NA,41.7647058823529,NA
"stringr","1",254,4561,49.8039215686275,40.1991891415477
"stringr","2",31,466,6.07843137254902,4.10717433456725
"stringr","3",6,42,1.17647058823529,0.370174510840825
"stringr","4",6,96,1.17647058823529,0.846113167636171
"tibble","0",339,NA,43.7984496124031,NA
